Record ID,Incident Year,Incident Month,Incident Day,Operator,Aircraft ,Engines,Engine Type,Airport,State,FAA Region,Warning Issued,Flight Phase,Visibility,Precipitation,Height,Height Bands,Speed,Speed Bands,Species Name,Species Quantity,Flight Impact,Aircraft Damage,Engine Ingested
127128,1990,1,1,Delta Air Lines,B-757-200,2,D,Cincinnati/Northern Kentucky Intl Arpt,KY,ASO,Unknown,CLIMB,UNKNOWN,NONE,0,On Ground,0,Stationary,Gull,1,NONE,Yes,No
129779,1990,1,1,Hawaiian Air,DC-9,2,D,Lihue Arpt,HI,AWP,Unknown,TAKEOFF RUN,UNKNOWN,NONE,0,On Ground,0,Stationary,House Sparrow,1,NONE,No,No
129780,1990,1,2,Unknown,UNKNOWN,0,NA,Lihue Arpt,HI,AWP,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Barn Owl,1,NONE,No,No
2258,1990,1,3,Military,A-10A,2,D,Myrtle Beach Intl,SC,ASO,Unknown,APPROACH,DAY,NONE,200,Low Altitude,138,Medium Speed,Unknown Medium Bird,1,NONE,No,No
2257,1990,1,3,Military,F-16,0,NA,Jacksonville Intl,FL,ASO,Unknown,CLIMB,DAY,NONE,100,Low Altitude,200,Medium Speed,Finch,1,NONE,No,No
129734,1990,1,4,Hawaiian Air,DC-9,2,D,Lihue Arpt,HI,AWP,Unknown,LANDING ROLL,UNKNOWN,NONE,0,On Ground,0,Stationary,Munias,1,NONE,No,No
129735,1990,1,5,Unknown,UNKNOWN,0,NA,Lihue Arpt,HI,AWP,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Pacific Golden-Plover,1,NONE,No,No
129736,1990,1,5,Unknown,UNKNOWN,0,NA,Lihue Arpt,HI,AWP,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Munias,1,NONE,No,No
129737,1990,1,6,Unknown,UNKNOWN,0,NA,Lihue Arpt,HI,AWP,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Munias,1,NONE,No,No
127848,1990,1,7,Metro Express,DHC8 DASH 8,2,C,Unknown,UNKNOWN,NA,Unknown,EN ROUTE,UNKNOWN,NONE,0,On Ground,0,Stationary,Unknown Medium Bird,1,NONE,Yes,No
107155,1990,1,8,1Us Airways,B-737-200,2,D,Orlando Intl,FL,ASO,No,APPROACH,DAY,NONE,60,Low Altitude,150,Medium Speed,Gull,2-10,NONE,No,No
129738,1990,1,8,Unknown,UNKNOWN,0,NA,Lihue Arpt,HI,AWP,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Spotted Dove,1,NONE,No,No
113914,1990,1,11,Business,HAWKER-SDLY HS125,2,B,John C Tune Arpt,TN,ASO,Unknown,TAKEOFF RUN,NIGHT,NONE,0,On Ground,100,Low Speed,White-Tailed Deer,2-10,PRECAUTIONARY LANDING,Yes,Yes
2259,1990,1,11,Military,F-16,0,NA,Fort Smith Regional Arpt,AR,ASW,Unknown,CLIMB,DAY,NONE,1400,Medium Altitude,200,Medium Speed,Horned Lark,1,NONE,No,Yes
102248,1990,1,11,Southwest Airlines,B-737-300,2,D,Louie Armstrong New Orleans Intl Arpt,LA,ASW,Yes,TAKEOFF RUN,DAY,NONE,0,On Ground,140,Medium Speed,Rock Pigeon,2-10,PRECAUTIONARY LANDING,Yes,No
129739,1990,1,12,Hawaiian Air,DC-9,2,D,Lihue Arpt,HI,AWP,Unknown,LANDING ROLL,UNKNOWN,NONE,0,On Ground,0,Stationary,Munias,1,NONE,No,No
2260,1990,1,13,Military,E-6,0,NA,Honolulu Intl Arpt,HI,AWP,Unknown,LANDING ROLL,UNKNOWN,NONE,0,On Ground,160,Medium Speed,Unknown Medium Bird,2-10,NONE,No,No
1604,1990,1,15,Military,F-16,0,NA,Fort Smith Regional Arpt,AR,ASW,Unknown,APPROACH,DAY,NONE,1500,Medium Altitude,180,Medium Speed,Horned Lark,1,NONE,No,Yes
1605,1990,1,18,Military,C-141B,0,NA,San Bernardino Intl Arpt,CA,AWP,Unknown,CLIMB,DAY,NONE,10,Low Altitude,140,Medium Speed,Unknown Medium Bird,1,NONE,No,No
127472,1990,1,19,Unknown,PA-32,1,A,Unknown,UNKNOWN,NA,Unknown,APPROACH,NIGHT,NONE,0,On Ground,0,Stationary,Unknown Medium Bird,1,OTHER,Yes,No
129401,1990,1,19,Privately Owned,PA-28,1,A,Jack Barstow,MI,AGL,Unknown,LANDING ROLL,DUSK,FOG,0,On Ground,0,Stationary,White-Tailed Deer,1,OTHER,Yes,No
129740,1990,1,19,Unknown,UNKNOWN,0,NA,Lihue Arpt,HI,AWP,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Western Meadowlark,1,NONE,No,No
129741,1990,1,19,Unknown,UNKNOWN,0,NA,Lihue Arpt,HI,AWP,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Munias,1,NONE,No,No
102359,1990,1,19,Ups Airlines,DC-8,4,D,Louisville Intl Arpt-Standiford Field,KY,ASO,Yes,APPROACH,DAY,NONE,300,Low Altitude,150,Medium Speed,Sparrow,2-10,NONE,No,No
127473,1990,1,20,Business,LOCKHEED 1329,4,B,Morristown Municipal Arpt,NJ,AEA,Unknown,TAKEOFF RUN,DAY,FOG,0,On Ground,0,Stationary,Geese,2-10,ABORTED TAKEOFF,Yes,Yes
129614,1990,1,21,Eastern Airline,B-727,3,D,La Guardia Arpt,NY,AEA,Unknown,TAKEOFF RUN,DAY,NONE,0,On Ground,0,Stationary,Unknown Bird,1,NONE,No,No
129402,1990,1,23,Airnet Express,LEARJET-25,2,B,St. Paul Downtown Arpt/Holman Field,MN,AGL,Unknown,LANDING ROLL,NIGHT,NONE,0,On Ground,0,Stationary,White-Tailed Deer,1,NONE,Yes,No
5206,1990,1,23,Military,F-15C,0,NA,Eglin Air Force Base/Destin-Fort Walton Beach Airport,FL,ASO,Yes,TAKEOFF RUN,DAY,NONE,225,Low Altitude,142,Medium Speed,Unknown Medium Bird,1,NONE,No,No
129742,1990,1,24,Unknown,UNKNOWN,0,NA,Lihue Arpt,HI,AWP,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Munias,1,NONE,No,No
129743,1990,1,25,Unknown,UNKNOWN,0,NA,Lihue Arpt,HI,AWP,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Barn Owl,1,NONE,No,No
1606,1990,1,25,Military,A-7K,0,NA,Tucson Intl,AZ,AWP,Unknown,CLIMB,DAY,NONE,2,Low Altitude,145,Medium Speed,Unknown Medium Bird,2-10,NONE,No,No
129089,1990,1,26,Privately Owned,BE-36,1,A,Unknown,UNKNOWN,NA,Unknown,CLIMB,UNKNOWN,NONE,0,On Ground,0,Stationary,Geese,1,PRECAUTIONARY LANDING,Yes,No
127474,1990,1,26,Privately Owned,AA-5,1,A,Kalamazoo/Battle Creek Intl,MI,AGL,Unknown,APPROACH,DUSK,NONE,0,On Ground,0,Stationary,Geese,1,NONE,Yes,No
129744,1990,1,28,Unknown,UNKNOWN,0,NA,Lihue Arpt,HI,AWP,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Munias,1,NONE,No,No
129745,1990,1,29,Unknown,UNKNOWN,0,NA,Lihue Arpt,HI,AWP,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Spotted Dove,1,NONE,No,No
129746,1990,1,30,Unknown,UNKNOWN,0,NA,Lihue Arpt,HI,AWP,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Munias,1,NONE,No,No
1607,1990,2,2,Military,A-10A,2,D,Alexandria Intl,LA,ASW,Unknown,APPROACH,DAY,NONE,1000,Medium Altitude,145,Medium Speed,Turkey Vulture,1,NONE,Yes,Yes
1608,1990,2,5,Military,A-10A,2,D,Alexandria Intl,LA,ASW,Unknown,APPROACH,NIGHT,NONE,1800,Medium Altitude,136,Medium Speed,Unknown Medium Bird,2-10,NONE,No,No
129747,1990,2,7,Aloha Air Cargo,B-737,2,D,Lihue Arpt,HI,AWP,Unknown,LANDING ROLL,UNKNOWN,NONE,0,On Ground,0,Stationary,Hawaiian Duck,1,NONE,No,No
126914,1990,2,8,Business,C-208,1,C,Unknown,UNKNOWN,NA,Unknown,APPROACH,UNKNOWN,NONE,0,On Ground,0,Stationary,Unknown Medium Bird,1,NONE,Yes,No
127252,1990,2,8,Business,L-1011-500,3,D,John F Kennedy Intl,NY,AEA,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Herring Gull,1,NONE,No,Yes
1610,1990,2,8,Military,C-135,0,NA,Lihue Arpt,HI,AWP,Unknown,TAKEOFF RUN,DAY,NONE,0,On Ground,120,Medium Speed,Sandpiper,1,NONE,No,No
1609,1990,2,8,Military,EC130E,0,NA,Gulfport-Biloxi Intl Aprt,MS,ASO,Unknown,CLIMB,DAY,NONE,50,Low Altitude,110,Medium Speed,Unknown Medium Bird,1,NONE,No,No
129749,1990,2,9,Unknown,UNKNOWN,0,NA,Lihue Arpt,HI,AWP,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Munias,1,NONE,No,No
129748,1990,2,9,Unknown,UNKNOWN,0,NA,Lihue Arpt,HI,AWP,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Zebra Dove,1,NONE,No,No
123253,1990,2,9,Ups Airlines,B-757-200,2,D,Unknown,UNKNOWN,NA,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Unknown Medium Bird,1,NONE,No,Yes
123992,1990,2,10,Lufthansa,B-747,4,D,John F Kennedy Intl,NY,AEA,Unknown,CLIMB,UNKNOWN,NONE,20,Low Altitude,175,Medium Speed,Mallard,1,NONE,Yes,Yes
