Aircraft Damage Incidents by Flight Phase,,,,
Count of Flight Phase,Aircraft Damage,,,
Flight Phase,Yes,,,
APPROACH,469,,,
CLIMB,309,,,
DESCENT,71,,,
EN ROUTE,114,,,
LANDING ROLL,192,,,
LOCAL,6,,,
TAKEOFF RUN,286,,,
TAXI,5,,,
UNKNOWN,94,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Year-wise Incident Count (1990–1993),,,,
Incident Year,No. of Incidents,,,
1990,2099,,,
1991,2672,,,
1992,2816,,,
1993,2412,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Aircraft Damage at Airport,,,,
 Aircraft Damage,Aircraft Damage,,,
Airport,Yes,,,
John F Kennedy Intl,35,,,
Sacramento Intl,27,,,
Chicago O'Hare Intl Arpt,25,,,
Sheppard Afb/Wichita Falls Muni Arpt,22,,,
Miami Intl,21,,,
Newark Liberty Intl Arpt,20,,,
General Edward Lawrence Logan Intl Arpt,20,,,
Ronald Reagan Washington National Arpt,19,,,
La Guardia Arpt,19,,,
Pittsburgh Intl Arpt,18,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Aircraft Damage by Species Quantity,,,,
Record ID,Aircraft Damage,,,
Species Quantity,No,Yes,,
0,52,19,,
1,6695,1108,,
2-10,1657,392,,
11-100,46,24,,
Over 100,3,3,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Aircraft Damage by Engine Type,,,,
Record ID,Aircraft Damage,,,
Engine Type,No,Yes,,
A,727,363,,
B,41,24,,
C,1166,252,,
D,4964,757,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Species cause MOST engine damage,,,,
Species Name,Engine Ingested,,,
Unknown Medium Bird,438,,,
Gull,95,,,
Unknown Small Bird,52,,,
Mourning Dove,26,,,
Unknown Large Bird,23,,,
Rock Pigeon,21,,,
Herring Gull,20,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Most Incident-Causing Species,,,,
Species Name,Species Name,,,
Unknown Medium Bird,3021,,,
Unknown Small Bird,1782,,,
Gull,1297,,,
Sparrow,339,,,
Blackbird,283,,,
Unknown Large Bird,208,,,
European Starling,201,,,
Rock Pigeon,199,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Most Aircraft-Damage-Causing Aircraft Types,,,,
Record ID,Aircraft Damage,,,
Aircraft ,Yes,,,
B-737-300,129,,,
BA-31 JETSTR,67,,,
B-737-200,64,,,
PA-28,54,,,
B-757-200,54,,,
C-172,49,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Incident by FAA Region,,,,
FAA Region,No. of Incidents,,,
AAL,80,,,
ACE,344,,,
AEA,1865,,,
AGL,1306,,,
ANE,447,,,
ANM,469,,,
ASO,1872,,,
ASW,1453,,,
AWP,1501,,,
FGN,102,,,
NA,530,,,
ONT,16,,,
P&N,4,,,
PAC,4,,,
QUE,6,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Every Month Incident,,,,
Incident Month,Record ID,,,
1,429,,,
2,383,,,
3,544,,,
4,678,,,
5,963,,,
6,765,,,
7,1074,,,
8,1351,,,
9,1490,,,
10,1255,,,
11,661,,,
12,406,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Aircraft Damage Distribution Across Altitude ,,,,
Aircraft Damage,Aircraft Damage,,,
Height Bands,Yes,,,
On Ground,739,,,
Medium Altitude,267,,,
Low Altitude,362,,,
High Altitude,178,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Aircraft Damage Occurrence Across Altitude and Speed Bands,,,,
.,.,,,
Height Bands,High Speed,Low Speed,Medium Speed,Stationary
On Ground,4,110,126,499
Medium Altitude,16,41,189,21
Low Altitude,8,81,234,39
High Altitude,85,8,75,10
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Aircraft Damage Risk by Weather Condition (%),,,,
Record ID,Aircraft Damage,,,
Precipitation,No,Yes,,
FOG,82.82%,17.18%,,
NONE,84.75%,15.25%,,
RAIN,82.55%,17.45%,,
SNOW,57.89%,42.11%,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Species cause Precautionary Landing,,,,
Species Name,Flight Impact,,,
Unknown Medium Bird,97,,,
Gull,65,,,
Unknown Large Bird,23,,,
Unknown Small Bird,18,,,
White-Tailed Deer,13,,,
Canada Goose,13,,,
Duck,11,,,
Rock Pigeon,10,,,
Hawk,10,,,
Turkey Vulture,9,,,
New World Vultures,8,,,
Herring Gull,8,,,
Mourning Dove,7,,,
European Starling,7,,,
Blackbird,7,,,
,,,,
,,,,
,,,,
Engine Ingestion Incidents by Flight Phase,,,,
Flight Phase,Engine Ingested,,,
APPROACH,199,,,
CLIMB,179,,,
DESCENT,10,,,
EN ROUTE,13,,,
LANDING ROLL,101,,,
LOCAL,6,,,
PARKED,1,,,
TAKEOFF RUN,238,,,
TAXI,5,,,
