Record ID,Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Aircraft Type,Aircraft Make,Aircraft Model,Aircraft Mass,Engine Make,Engine Model,Engines,Engine Type,Engine1 Position,Engine2 Position,Engine3 Position,Engine4 Position,Airport ID,Airport,State,FAA Region,Warning Issued,Flight Phase,Visibility,Precipitation,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact,Fatalities,Injuries,Aircraft Damage,Radome Strike,Radome Damage,Windshield Strike,Windshield Damage,Nose Strike,Nose Damage,Engine1 Strike,Engine1 Damage,Engine2 Strike,Engine2 Damage,Engine3 Strike,Engine3 Damage,Engine4 Strike,Engine4 Damage,Engine Ingested,Propeller Strike,Propeller Damage,Wing or Rotor Strike,Wing or Rotor Damage,Fuselage Strike,Fuselage Damage,Landing Gear Strike,Landing Gear Damage,Tail Strike,Tail Damage,Lights Strike,Lights Damage,Other Strike,Other Damage
127128,1990,1,1,DAL,DELTA AIR LINES,B-757-200,A,148,26,4,34,40,2,D,1,1,,,KCVG,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,KY,ASO,,CLIMB,,,,,,NE1,GULL,1,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
129779,1990,1,1,HAL,HAWAIIAN AIR,DC-9,A,583,90,4,34,10,2,D,5,5,,,PHLI,LIHUE ARPT,HI,AWP,,TAKEOFF RUN,,,0,,0,ZZ201,HOUSE SPARROW,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
129780,1990,1,2,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,PHLI,LIHUE ARPT,HI,AWP,,,,,,,0,R1101,BARN OWL,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2258,1990,1,3,MIL,MILITARY,A-10A,A,345,,3,22,,2,D,,,,,KMYR,MYRTLE BEACH INTL,SC,ASO,,APPROACH,DAY,,200,138,,UNKBM,UNKNOWN MEDIUM BIRD,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2257,1990,1,3,MIL,MILITARY,F-16,A,561,,,,,,,,,,,KJAX,JACKSONVILLE INTL,FL,ASO,,CLIMB,DAY,,100,200,,ZX,FINCH,1,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129734,1990,1,4,HAL,HAWAIIAN AIR,DC-9,A,583,90,4,34,10,2,D,5,5,,,PHLI,LIHUE ARPT,HI,AWP,,LANDING ROLL,,,0,,0,ZY1,MUNIAS,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
129735,1990,1,5,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,PHLI,LIHUE ARPT,HI,AWP,,,,,,,0,N5122,PACIFIC GOLDEN-PLOVER,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129736,1990,1,5,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,PHLI,LIHUE ARPT,HI,AWP,,,,,,,0,ZY1,MUNIAS,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129737,1990,1,6,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,PHLI,LIHUE ARPT,HI,AWP,,,,,,,0,ZY1,MUNIAS,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127848,1990,1,7,EME,METRO EXPRESS,DHC8 DASH 8,A,303,10,3,31,10,2,C,4,4,,,ZZZZ,UNKNOWN,,,,EN ROUTE,,,,,,UNKBM,UNKNOWN MEDIUM BIRD,1,,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107155,1990,1,8,USA,1US AIRWAYS,B-737-200,A,148,13,4,34,10,2,D,1,1,,,KMCO,ORLANDO INTL,FL,ASO,N,APPROACH,DAY,NONE,60,150,,NE1,GULL,2-10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
